日期,next_day_close
2021-01-19,13296.45
2021-01-20,13404.99
2021-01-21,13366.4
2021-01-22,13483.29
2021-01-25,13490.19
2021-01-26,13112.65
2021-01-27,13201.53
2021-01-28,12925.38
2021-01-29,13248.9
2021-02-01,13456.12
2021-02-02,13402.37
2021-02-03,13560.89
2021-02-04,13603.96
2021-02-05,13695.02
2021-02-08,13687.08
2021-02-09,13655.27
2021-02-10,13734.35
2021-02-11,13807.7
2021-02-12,13773.77
2021-02-16,13699.71
2021-02-17,13637.51
2021-02-18,13580.78
2021-02-19,13223.74
2021-02-22,13194.71
2021-02-23,13302.19
2021-02-24,12828.31
2021-02-25,12909.44
2021-02-26,13282.95
2021-03-01,13059.95
2021-03-02,12683.33
2021-03-03,12464.0
2021-03-04,12668.51
2021-03-05,12299.08
2021-03-08,12794.49
2021-03-09,12752.07
2021-03-10,13052.9
2021-03-11,12937.29
2021-03-12,13082.54
2021-03-15,13152.28
2021-03-16,13202.38
2021-03-17,12789.14
2021-03-18,12866.99
2021-03-19,13086.51
2021-03-22,13017.79
2021-03-23,12798.88
2021-03-24,12780.51
2021-03-25,12979.12
2021-03-26,12965.74
2021-03-29,12896.53
2021-03-30,13091.44
2021-03-31,13329.51
2021-04-01,13598.16
2021-04-05,13578.46
2021-04-06,13616.7
2021-04-07,13758.5
2021-04-08,13845.06
2021-04-09,13819.35
2021-04-12,13986.49
2021-04-13,13803.91
2021-04-14,14026.19
2021-04-15,14041.91
2021-04-16,13907.67
2021-04-19,13809.3
2021-04-20,13935.15
2021-04-21,13762.36
2021-04-22,13941.44
2021-04-23,14026.16
2021-04-26,13960.28
2021-04-27,13901.62
2021-04-28,13970.2
2021-04-29,13860.76
2021-04-30,13799.72
2021-05-03,13544.67
2021-05-04,13503.37
2021-05-05,13613.73
2021-05-06,13719.63
2021-05-07,13359.08
2021-05-10,13351.27
2021-05-11,13001.63
2021-05-12,13109.15
2021-05-13,13393.11
2021-05-14,13312.91
2021-05-17,13217.68
2021-05-18,13237.91
2021-05-19,13494.09
2021-05-20,13411.74
2021-05-21,13641.75
2021-05-24,13657.73
2021-05-25,13702.74
2021-05-26,13657.85
2021-05-27,13686.51
2021-05-28,13654.59
2021-06-01,13675.79
2021-06-02,13529.68
2021-06-03,13770.77
2021-06-04,13802.89
2021-06-07,13810.86
2021-06-08,13814.94
2021-06-09,13960.35
2021-06-10,13998.3
2021-06-11,14128.2
2021-06-14,14030.41
2021-06-15,13983.01
2021-06-16,14163.81
2021-06-17,14049.58
2021-06-18,14137.23
2021-06-21,14270.42
2021-06-22,14274.24
2021-06-23,14365.96
2021-06-24,14345.18
2021-06-25,14524.98
2021-06-28,14572.75
2021-06-29,14554.8
2021-06-30,14560.05
2021-07-01,14727.63
2021-07-02,14786.36
2021-07-06,14810.53
2021-07-07,14722.14
2021-07-08,14826.09
2021-07-09,14877.89
2021-07-12,14874.54
2021-07-13,14900.44
2021-07-14,14794.69
2021-07-15,14681.38
2021-07-16,14549.09
2021-07-19,14728.21
2021-07-20,14842.63
2021-07-21,14940.17
2021-07-22,15111.79
2021-07-23,15125.95
2021-07-26,14956.97
2021-07-27,15018.1
2021-07-28,15048.36
2021-07-29,14959.9
2021-07-30,14963.62
2021-08-02,15061.42
2021-08-03,15083.39
2021-08-04,15181.64
2021-08-05,15109.36
2021-08-06,15133.11
2021-08-09,15053.58
2021-08-10,15027.76
2021-08-11,15088.98
2021-08-12,15136.68
2021-08-13,15140.77
2021-08-16,15002.83
2021-08-17,14857.92
2021-08-18,14933.93
2021-08-19,15092.57
2021-08-20,15312.82
2021-08-23,15357.68
2021-08-24,15368.92
2021-08-25,15278.52
2021-08-26,15432.95
2021-08-27,15605.09
2021-08-30,15582.51
2021-08-31,15611.57
2021-09-01,15604.25
2021-09-02,15652.86
2021-09-03,15675.76
2021-09-07,15620.85
2021-09-08,15561.05
2021-09-09,15440.75
2021-09-10,15434.5
2021-09-13,15382.9
2021-09-14,15503.53
2021-09-15,15515.91
2021-09-16,15333.47
2021-09-17,15012.18
2021-09-20,15027.77
2021-09-21,15176.51
2021-09-22,15316.58
2021-09-23,15329.68
2021-09-24,15204.83
2021-09-27,14770.3
2021-09-28,14752.89
2021-09-29,14689.62
2021-09-30,14791.87
2021-10-01,14472.12
2021-10-04,14674.15
2021-10-05,14766.75
2021-10-06,14897.13
2021-10-07,14820.75
2021-10-08,14713.73
2021-10-11,14662.11
2021-10-12,14774.6
2021-10-13,15052.42
2021-10-14,15146.92
2021-10-15,15300.89
2021-10-18,15410.72
2021-10-19,15388.71
2021-10-20,15489.59
2021-10-21,15355.07
2021-10-22,15514.19
2021-10-25,15559.49
2021-10-26,15598.39
2021-10-27,15778.16
2021-10-28,15850.47
2021-10-29,15905.28
2021-11-01,15972.49
2021-11-02,16144.5
2021-11-03,16346.24
2021-11-04,16359.38
2021-11-05,16336.03
2021-11-08,16219.93
2021-11-09,15985.57
2021-11-10,16032.47
2021-11-11,16199.89
2021-11-12,16189.11
2021-11-15,16309.77
2021-11-16,16308.07
2021-11-17,16482.97
2021-11-18,16573.34
2021-11-19,16380.98
2021-11-22,16306.72
2021-11-23,16367.81
2021-11-24,16025.58
2021-11-26,16399.24
2021-11-29,16135.92
2021-11-30,15877.72
2021-12-01,15990.76
2021-12-02,15712.04
2021-12-03,15846.16
2021-12-06,16325.66
2021-12-07,16394.34
2021-12-08,16149.57
2021-12-09,16331.98
2021-12-10,16082.55
2021-12-13,15914.9
2021-12-14,16289.59
2021-12-15,15863.94
2021-12-16,15801.46
2021-12-17,15627.64
2021-12-20,15986.28
2021-12-21,16180.14
2021-12-22,16308.21
2021-12-23,16567.5
2021-12-27,16488.66
2021-12-28,16491.01
2021-12-29,16429.1
2021-12-30,16320.08
2021-12-31,16501.77
2022-01-03,16279.73
2022-01-04,15771.77
2022-01-05,15765.36
2022-01-06,15592.19
2022-01-07,15614.43
2022-01-10,15844.12
2022-01-11,15905.1
2022-01-12,15495.62
2022-01-13,15611.59
2022-01-14,15210.76
2022-01-18,15047.84
2022-01-19,14846.46
2022-01-20,14438.4
2022-01-21,14509.58
2022-01-24,14149.12
2022-01-25,14172.76
2022-01-26,14003.11
2022-01-27,14454.61
2022-01-28,14930.05
2022-01-31,15019.68
2022-02-01,15139.74
2022-02-02,14501.11
2022-02-03,14694.35
2022-02-04,14571.25
2022-02-07,14747.03
2022-02-08,15056.96
2022-02-09,14705.64
2022-02-10,14253.84
2022-02-11,14268.59
2022-02-14,14620.82
2022-02-15,14603.64
2022-02-16,14171.74
2022-02-17,14009.54
2022-02-18,13870.53
2022-02-22,13509.43
2022-02-23,13974.67
2022-02-24,14189.16
2022-02-25,14237.81
2022-02-28,14005.99
2022-03-01,14243.69
2022-03-02,14035.21
2022-03-03,13837.83
2022-03-04,13319.38
2022-03-07,13267.6
2022-03-08,13742.2
2022-03-09,13591.0
2022-03-10,13301.83
2022-03-11,13046.64
2022-03-14,13458.56
2022-03-15,13956.78
2022-03-16,14118.6
2022-03-17,14420.08
2022-03-18,14376.09
2022-03-21,14654.33
2022-03-22,14447.55
2022-03-23,14765.69
2022-03-24,14754.31
2022-03-25,14987.4
2022-03-28,15239.32
2022-03-29,15071.55
2022-03-30,14838.49
2022-03-31,14861.21
2022-04-01,15159.58
2022-04-04,14820.64
2022-04-05,14498.89
2022-04-06,14531.81
2022-04-07,14327.26
2022-04-08,13990.2
2022-04-11,13940.24
2022-04-12,14217.29
2022-04-13,13893.22
2022-04-14,13910.76
2022-04-18,14210.26
2022-04-19,13998.53
2022-04-20,13720.45
2022-04-21,13356.87
2022-04-22,13533.22
2022-04-25,13009.71
2022-04-26,13003.36
2022-04-27,13456.06
2022-04-28,12854.8
2022-04-29,13075.85
2022-05-02,13089.9
2022-05-03,13535.71
2022-05-04,12850.55
2022-05-05,12693.53
2022-05-06,12187.72
2022-05-09,12345.86
2022-05-10,11967.56
2022-05-11,11945.5
2022-05-12,12387.4
2022-05-13,12243.58
2022-05-16,12564.1
2022-05-17,11928.31
2022-05-18,11875.63
2022-05-19,11835.62
2022-05-20,12034.28
2022-05-23,11769.84
2022-05-24,11943.93
