日期,收盘,lag_1_close,lag_2_close,lag_3_close,lag_5_close,lag_10_close,ma_5,ma_10,ma_20,ma_50,volatility_5,volatility_10,rsi_14,macd,macd_signal,macd_hist,day_of_week,month,quarter
2021-01-19,12996.54,12803.93,12898.69,12973.63,12902.49,12694.67,12912.975999999999,12893.787,12875.685454545455,12875.685454545455,76.14656052639448,130.5513844388054,60.58784328855534,62.932749623827476,47.82894434270746,15.103805281120017,1,1,1
2021-01-20,13296.45,12996.54,12803.93,12898.69,12892.09,12802.38,12993.848000000002,12943.194,12910.749166666666,12910.749166666666,185.14040380208738,177.25208390563,67.43824835116438,92.37534773220432,56.73822502060683,35.637122711597485,2,1,1
2021-01-21,13404.99,13296.45,12996.54,12803.93,12973.63,12623.35,13080.12,13021.358,12948.767692307692,12948.767692307692,259.0958139376239,192.2452032518167,69.36532170119959,123.04866137572208,70.00031229162988,53.048349084092195,3,1,1
2021-01-22,13366.4,13404.99,13296.45,12996.54,12898.69,12939.57,13173.662,13064.041000000001,12978.598571428573,12978.598571428573,261.63496893572864,217.75885834513463,67.93585355043018,142.5997913086685,84.52020809503762,58.07958321363088,4,1,1
2021-01-25,13483.29,13366.4,13404.99,13296.45,12803.93,13105.2,13309.534,13101.85,13012.244666666667,13012.244666666667,187.53211226347227,255.2886687218533,69.81975189496757,165.61711770845977,100.73959001772207,64.87752769073771,0,1,1
2021-01-26,13490.19,13483.29,13366.4,13404.99,12996.54,12902.49,13408.264000000001,13160.62,13042.116250000001,13042.116250000001,81.55742504517576,271.43142297415676,68.20884537796444,182.31368833270062,117.05440968071778,65.25927865198284,1,1,1
2021-01-27,13112.65,13490.19,13483.29,13366.4,13296.45,12892.09,13371.504,13182.676000000001,13046.265294117647,13046.265294117647,153.8954456116217,255.69149054627414,61.72155731657067,163.20024721684786,126.28357718794379,36.916670028904065,2,1,1
2021-01-28,13201.53,13112.65,13490.19,13483.29,13404.99,12973.63,13330.812,13205.466,13054.891111111112,13054.891111111112,168.98660219082373,244.91827372501578,57.04254129387476,153.45563953671444,131.71798965769793,21.737649879016516,3,1,1
2021-01-29,12925.38,13201.53,13112.65,13490.19,13366.4,12898.69,13242.608000000002,13208.135,13048.074736842105,13048.074736842105,244.14890931560663,241.322758711688,45.43687447979047,122.04313335385268,129.7830183969289,-7.739885043076214,4,1,1
2021-02-01,13248.9,12925.38,13201.53,13112.65,13483.29,12803.93,13195.73,13252.632000000001,13058.116,13058.116,205.88758425412738,195.10975200867267,58.28268385640573,121.84925377065701,128.1962654716745,-6.347011701017493,0,2,1
2021-02-02,13456.12,13248.9,12925.38,13201.53,13490.19,12996.54,13188.916000000001,13298.59,13096.1885,13077.068571428572,193.92195396602335,181.75478413387646,62.32588429145232,136.83912869811684,129.92483811696297,6.914290581153864,1,2,1
2021-02-03,13402.37,13456.12,13248.9,12925.38,13112.65,13296.45,13246.86,13309.182,13126.188,13091.855,208.19550223287794,184.6790062543859,59.484558888593945,142.73616314329956,132.48710312223028,10.249060021069283,2,2,1
2021-02-04,13560.89,13402.37,13456.12,13248.9,13201.53,13404.99,13318.732,13324.772,13173.064999999999,13112.247826086958,247.03925734587176,199.63975376773197,64.12675251090114,158.3751939690883,137.6647212916019,20.710472677486393,3,2,1
2021-02-05,13603.96,13560.89,13402.37,13456.12,12925.38,13366.4,13454.447999999999,13348.528,13206.2845,13132.735833333332,140.22181666915753,218.3966460772091,67.45197614404316,172.25893385859126,144.58356380499978,27.67537005359148,4,2,1
2021-02-08,13695.02,13603.96,13560.89,13402.37,13248.9,13483.29,13543.672,13369.701000000001,13235.7755,13155.2272,116.69289554209514,241.9106366891069,65.94310078793353,188.43748865682392,153.3543487753646,35.08313988145932,0,2,1
2021-02-09,13687.08,13695.02,13603.96,13560.89,13456.12,13490.19,13589.864000000001,13389.39,13275.005,13175.683076923076,119.05978006866155,260.13288668165126,60.287479524062796,198.3321684713137,162.34991271455442,35.98225575675929,1,2,1
2021-02-10,13655.27,13687.08,13695.02,13603.96,13402.37,13112.65,13640.444,13443.652000000002,13313.164,13193.445555555556,57.081493761093874,252.4734461196869,56.8688798138146,201.2866649815678,170.1372631679571,31.149401813610723,2,2,1
2021-02-11,13734.35,13655.27,13687.08,13695.02,13560.89,13201.53,13675.135999999999,13496.934,13351.2,13212.763571428572,48.746823793940564,251.92108950576568,59.87875403392523,207.61595239009876,177.63300101238542,29.982951377713334,3,2,1
2021-02-12,13807.7,13734.35,13655.27,13687.08,13603.96,12925.38,13715.884,13585.166000000001,13396.6505,13233.278620689656,58.54529212496092,171.02007407836837,58.918291831382376,216.0600840931911,185.31841762854657,30.74166646464454,4,2,1
2021-02-16,13773.77,13807.7,13734.35,13655.27,13695.02,13248.9,13731.634,13637.653,13445.142499999998,13251.295,62.018898168194085,132.57223859295604,57.681680770606,217.5069669478271,191.7561274924027,25.750839455424398,1,2,1
2021-02-17,13699.71,13773.77,13807.7,13734.35,13687.08,13456.12,13734.16,13662.011999999999,13480.301000000001,13265.76,59.97406606189718,116.9718951809111,69.0314716599452,210.25393252399044,195.45568849872024,14.798244025270208,2,2,1
2021-02-18,13637.51,13699.71,13773.77,13807.7,13655.27,13402.37,13730.607999999998,13685.526000000002,13497.354000000001,13277.3771875,66.03419810974366,75.12886428584183,64.38251322856044,197.21347612327736,195.80724602363168,1.4062300996456827,3,2,1
2021-02-19,13580.78,13637.51,13699.71,13773.77,13734.35,13560.89,13699.894,13687.515,13506.1435,13286.571212121211,93.75465231121754,71.64507197902986,75.2808121952725,180.223677221029,192.69053226311115,-12.466855042082159,4,2,1
2021-02-22,13223.74,13580.78,13637.51,13699.71,13807.7,13603.96,13583.102000000003,13649.492999999999,13499.0105,13284.72323529412,213.3414991744427,163.24699582395857,49.053964625195526,136.37692677372797,181.42781116523452,-45.05088439150654,0,2,1
2021-02-23,13194.71,13223.74,13580.78,13637.51,13773.77,13695.02,13467.289999999999,13599.462,13484.5815,13282.151428571427,239.52575216456378,215.91410189134984,38.64984325746583,98.15412312671106,164.7730735575298,-66.61895043081876,1,2,1
2021-02-24,13302.19,13194.71,13223.74,13580.78,13699.71,13687.08,13387.785999999998,13560.973000000002,13475.1815,13282.708055555555,206.8362077345283,232.24742347809868,45.844188168920596,75.66281972091019,146.95102279020588,-71.28820306929569,2,2,1
2021-02-25,12828.31,13302.19,13194.71,13223.74,13637.51,13655.27,13225.946000000002,13478.277000000002,13460.964499999998,13270.427027027026,269.6364486303782,324.0313178639694,25.91243275945979,19.376780645472536,121.43617436125922,-102.05939371578668,3,2,1
2021-02-26,12909.44,12828.31,13302.19,13194.71,13580.78,13734.35,13091.678,13395.785999999998,13446.36,13260.927368421053,209.13193149302575,355.1089277390741,27.72146376514077,-18.470877099050995,93.45476406919718,-111.92564116824818,4,2,1
2021-03-01,13282.95,12909.44,12828.31,13302.19,13223.74,13807.7,13103.52,13343.311000000002,13464.238500000001,13261.492051282052,219.87956953751655,324.96901019600824,38.80956131155736,-18.11743656157887,71.14032394304198,-89.25776050462085,0,3,1
2021-03-02,13059.95,13282.95,12909.44,12828.31,13194.71,13773.77,13076.568000000001,13271.929,13454.791000000001,13256.4535,214.09038843442715,297.11358185230677,34.75048997437064,-35.423231735221634,49.82761280738926,-85.25084454261089,1,3,1
2021-03-03,12683.33,13059.95,13282.95,12909.44,13302.19,13699.71,12952.795999999998,13170.291000000001,13416.151500000002,13242.474878048779,229.3861784851154,308.15538884897705,29.76002065771503,-78.62198029878527,24.137694186154356,-102.75967448493964,2,3,1
2021-03-04,12464.0,12683.33,13059.95,13282.95,12828.31,13637.51,12879.934,13052.939999999999,13369.233000000002,13223.939761904761,319.1208570902347,332.912818717852,25.00580413884292,-129.06758694774726,-6.503362040625966,-122.56422490712129,3,3,1
2021-03-05,12668.51,12464.0,12683.33,13059.95,12909.44,13580.78,12831.748,12961.713,13324.613999999998,13211.022790697674,331.50133351165664,295.0378898096527,28.686411345394717,-150.8054544140541,-35.363780515311596,-115.44167389874252,4,3,1
